Timestamp,Price,Volume,DataType,Correction,MarketState
20260526 12:00:07.720,4505.0,2,A,R,N
20260526 12:00:07.720,4504.9,1,A,R,N
20260526 12:00:07.720,4504.8,3,B,R,N
20260526 12:00:07.720,4504.8,2,B,R,N
20260526 12:00:07.720,4504.8,1,B,R,N
20260526 12:00:07.720,4505.0,2,A,R,N
20260526 12:00:07.720,4504.8,2,B,R,N
20260526 12:00:07.720,4504.8,1,B,R,N
20260526 12:00:07.720,4505.0,3,A,R,N
20260526 12:00:07.724,4504.9,1,A,R,N
20260526 12:00:07.724,4504.9,2,A,R,N
20260526 12:00:07.724,4504.9,1,A,R,N
20260526 12:00:07.724,4505.0,2,A,R,N
20260526 12:00:07.728,4504.8,2,B,R,N
20260526 12:00:07.728,4505.0,1,A,R,N
20260526 12:00:07.732,4504.8,3,B,R,N
20260526 12:00:07.748,4505.0,2,A,R,N
20260526 12:00:07.900,4504.9,1,B,R,N
20260526 12:00:07.900,4505.0,1,A,R,N
20260526 12:00:07.948,4504.9,1,T,R,N
20260526 12:00:07.948,4504.8,3,B,R,N
20260526 12:00:07.948,4505.0,2,A,R,N
20260526 12:00:07.948,4504.9,1,B,R,N
20260526 12:00:07.948,4505.0,1,A,R,N
20260526 12:00:08.176,4505.0,2,A,R,N
20260526 12:00:08.176,4504.9,1,T,R,N
20260526 12:00:08.176,4504.8,2,B,R,N
20260526 12:00:08.176,4504.8,1,B,R,N
20260526 12:00:08.188,4504.8,2,B,R,N
20260526 12:00:08.220,4504.8,1,T,R,N
20260526 12:00:08.220,4504.8,1,T,R,N
20260526 12:00:08.220,4504.7,2,B,R,N
20260526 12:00:08.220,4504.9,1,A,R,N
20260526 12:00:08.220,4504.9,2,A,R,N
20260526 12:00:08.224,4504.9,3,A,R,N
20260526 12:00:08.224,4504.7,1,B,R,N
20260526 12:00:08.224,4504.9,4,A,R,N
20260526 12:00:08.224,4504.9,3,A,R,N
20260526 12:00:08.224,4504.7,2,B,R,N
20260526 12:00:08.224,4504.9,2,A,R,N
20260526 12:00:08.224,4504.8,1,B,R,N
20260526 12:00:08.224,4504.9,1,A,R,N
20260526 12:00:08.224,4505.0,3,A,R,N
20260526 12:00:08.224,4504.7,2,B,R,N
20260526 12:00:08.224,4504.7,3,B,R,N
20260526 12:00:08.224,4504.8,1,B,R,N
20260526 12:00:08.260,4504.8,2,B,R,N
20260526 12:00:08.272,4504.8,3,B,R,N
20260526 12:00:08.272,4504.8,2,B,R,N
20260526 12:00:08.648,4504.8,1,T,R,N
20260526 12:00:08.648,4504.8,1,B,R,N
20260526 12:00:08.852,4504.8,1,T,R,N
20260526 12:00:08.852,4504.7,3,B,R,N
20260526 12:00:08.852,4504.9,1,A,R,N
20260526 12:00:08.852,4504.9,2,A,R,N
20260526 12:00:08.852,4504.7,2,B,R,N
20260526 12:00:08.852,4504.9,3,A,R,N
20260526 12:00:09.008,4504.9,2,A,R,N
20260526 12:00:09.056,4504.9,1,A,R,N
20260526 12:00:09.056,4505.0,3,A,R,N
20260526 12:00:09.056,4504.7,3,B,R,N
20260526 12:00:09.056,4504.8,1,B,R,N
20260526 12:00:09.056,4504.9,1,A,R,N
20260526 12:00:09.056,4505.0,3,A,R,N
20260526 12:00:09.056,4504.7,3,B,R,N
20260526 12:00:09.056,4504.8,1,B,R,N
20260526 12:00:09.060,4504.7,3,B,R,N
20260526 12:00:09.156,4504.7,1,T,R,N
20260526 12:00:09.156,4504.7,2,B,R,N
20260526 12:00:09.156,4504.9,1,A,R,N
20260526 12:00:09.156,4504.9,2,A,R,N
20260526 12:00:09.156,4504.9,3,A,R,N
20260526 12:00:09.156,4504.9,4,A,R,N
20260526 12:00:09.156,4504.7,1,B,R,N
20260526 12:00:09.156,4504.6,3,B,R,N
20260526 12:00:09.156,4504.7,1,B,R,N
20260526 12:00:09.156,4504.9,3,A,R,N
20260526 12:00:09.164,4504.6,4,B,R,N
20260526 12:00:09.180,4504.6,1,T,R,N
20260526 12:00:09.180,4504.6,1,T,R,N
20260526 12:00:09.180,4504.6,2,B,R,N
20260526 12:00:09.180,4504.6,3,B,R,N
20260526 12:00:09.180,4504.9,4,A,R,N
20260526 12:00:09.180,4504.8,1,A,R,N
20260526 12:00:09.180,4504.6,1,T,R,N
20260526 12:00:09.180,4504.6,1,T,R,N
20260526 12:00:09.180,4504.6,1,B,R,N
20260526 12:00:09.180,4504.9,4,A,R,N
20260526 12:00:09.180,4504.6,2,B,R,N
20260526 12:00:09.180,4504.8,1,A,R,N
20260526 12:00:09.188,4504.6,3,B,R,N
20260526 12:00:09.188,4504.9,4,A,R,N
20260526 12:00:09.188,4504.9,3,A,R,N
20260526 12:00:09.188,4504.6,4,B,R,N
20260526 12:00:09.336,4504.8,1,A,R,N
20260526 12:00:09.336,4504.6,3,B,R,N
20260526 12:00:09.336,4504.8,2,A,R,N
20260526 12:00:09.384,4504.8,1,A,R,N
20260526 12:00:09.388,4504.8,1,T,R,N
20260526 12:00:09.388,4504.9,3,A,R,N
20260526 12:00:09.388,4504.7,1,B,R,N
20260526 12:00:09.388,4504.7,2,B,R,N
20260526 12:00:09.388,4504.7,3,B,R,N
20260526 12:00:09.388,4504.7,2,B,R,N
20260526 12:00:09.388,4504.7,1,B,R,N
20260526 12:00:09.388,4504.6,3,B,R,N
20260526 12:00:09.444,4504.7,1,B,R,N
20260526 12:00:09.544,4504.7,2,B,R,N
20260526 12:00:09.544,4504.7,3,B,R,N
20260526 12:00:09.544,4504.9,2,A,R,N
20260526 12:00:09.544,4504.7,4,B,R,N
20260526 12:00:09.544,4504.9,1,A,R,N
20260526 12:00:09.544,4505.0,3,A,R,N
20260526 12:00:09.544,4504.7,5,B,R,N
20260526 12:00:09.544,4504.8,1,B,R,N
20260526 12:00:09.556,4504.7,5,B,R,N
20260526 12:00:09.556,4504.7,4,B,R,N
20260526 12:00:09.556,4504.7,3,B,R,N
20260526 12:00:09.556,4504.9,1,A,R,N
20260526 12:00:09.556,4504.9,2,A,R,N
20260526 12:00:09.556,4504.7,2,B,R,N
20260526 12:00:09.836,4504.8,1,A,R,N
20260526 12:00:09.836,4504.7,1,B,R,N
20260526 12:00:09.836,4504.6,2,B,R,N
20260526 12:00:09.836,4504.8,2,A,R,N
20260526 12:00:09.836,4504.6,1,B,R,N
20260526 12:00:09.836,4504.8,1,A,R,N
20260526 12:00:09.936,4504.6,2,B,R,N
20260526 12:00:09.936,4504.7,1,B,R,N
20260526 12:00:09.936,4504.9,3,A,R,N
20260526 12:00:09.944,4504.6,3,B,R,N
20260526 12:00:10.040,4504.7,1,B,R,N
20260526 12:00:10.064,4504.6,3,B,R,N
20260526 12:00:10.076,4504.8,1,A,R,N
20260526 12:00:10.136,4504.7,1,B,R,N
20260526 12:00:10.136,4504.9,3,A,R,N
20260526 12:00:10.144,4504.6,3,B,R,N
20260526 12:00:10.156,4504.7,1,B,R,N
20260526 12:00:10.160,4504.6,3,B,R,N
20260526 12:00:10.196,4504.8,1,A,R,N
20260526 12:00:10.196,4504.8,2,A,R,N
20260526 12:00:10.196,4504.8,3,A,R,N
20260526 12:00:10.196,4504.6,2,B,R,N
20260526 12:00:10.416,4504.6,1,T,R,N
20260526 12:00:10.416,4504.6,1,B,R,N
20260526 12:00:10.416,4504.7,1,A,R,N
20260526 12:00:10.416,4504.7,2,A,R,N
20260526 12:00:10.416,4504.5,2,B,R,N
20260526 12:00:10.416,4504.7,1,A,R,N
20260526 12:00:10.416,4504.5,1,B,R,N
20260526 12:00:10.416,4504.5,2,B,R,N
20260526 12:00:10.416,4504.5,3,B,R,N
20260526 12:00:10.420,4504.5,2,B,R,N
20260526 12:00:10.420,4504.7,2,A,R,N
20260526 12:00:10.432,4504.7,1,A,R,N
20260526 12:00:10.552,4504.6,1,B,R,N
20260526 12:00:10.552,4504.8,3,A,R,N
20260526 12:00:10.572,4504.5,3,B,R,N
20260526 12:00:10.600,4504.8,4,A,R,N
20260526 12:00:10.600,4504.7,1,A,R,N
20260526 12:00:10.600,4504.5,2,B,R,N
20260526 12:00:10.600,4504.7,2,A,R,N
20260526 12:00:10.612,4504.7,3,A,R,N
20260526 12:00:10.876,4504.7,2,A,R,N
20260526 12:00:11.088,4504.5,1,T,R,N
20260526 12:00:11.088,4504.5,1,B,R,N
20260526 12:00:11.408,4504.5,2,B,R,N
